,Company,Product Type,Production Year,Greenhouse Gas Emissions,Pollutants Emitted,Water Consumption,Energy Consumption,Waste Generation,Sales Revenue
0,Zara,Polyester,2020,5000,20,7500,1200,300,500000
1,Zara,Nylon,2019,3000,15,5000,900,200,450000
2,Zara,Recycled Poly,2021,3500,18,6000,1100,250,480000
3,Zara,Cotton,2018,2000,10,4500,800,180,550000
4,Zara,Synthetic Blend,2022,6000,25,8000,1500,350,600000
5,Zara,Organic Cotton,2019,2500,12,4000,700,150,420000
6,Zara,Polyester,2021,4500,22,7000,1300,280,550000
7,Zara,Recycled Poly,2020,3800,16,5500,1000,220,510000
8,Zara,Microfiber,2022,4800,19,6800,1100,270,530000
9,Zara,Linen,2019,2100,11,4800,850,200,470000
10,Zara,Tencel,2020,3200,14,5500,950,180,490000
11,Zara,Viscose,2021,4200,21,6000,1200,250,520000
12,Zara,Wool,2018,1800,9,4000,700,160,430000
13,Zara,Cotton,2022,2445,11,6997,1197,167,559645
14,Adidas,Recycled Poly,2021,3152,17,6161,1321,258,475521
15,Forever 21,Cotton,2020,5068,20,5794,1229,265,451720
16,Adidas,Cotton,2018,4569,9,6409,1267,208,574256
17,Adidas,Polyester,2018,2282,16,4276,732,234,438574
18,Forever 21,Cotton,2020,5776,15,6208,835,335,569695
19,Forever 21,Linen,2019,5674,22,4779,796,174,592748
20,Urban Outfitters,Organic Cotton,2021,5167,23,7538,1446,163,596518
21,Zara,Polyester,2021,4579,12,5018,896,198,560584
22,Urban Outfitters,Recycled Poly,2021,3303,17,5894,955,169,536164
23,Forever 21,Nylon,2018,1920,11,7794,1471,210,463597
24,Urban Outfitters,Linen,2021,3551,21,7696,760,192,519345
25,Zara,Microfiber,2020,5527,18,5732,1413,337,565691
26,Urban Outfitters,Recycled Poly,2019,4230,15,7967,759,298,562133
27,Zara,Organic Cotton,2018,2210,24,6059,1243,190,434910
28,Forever 21,Nylon,2019,2361,11,6765,940,253,451427
29,Forever 21,Cotton,2022,2125,11,5717,1373,299,568170
30,Forever 21,Organic Cotton,2020,3473,19,4977,971,251,454308
31,Nike,Linen,2020,2394,9,5877,1336,294,446209
32,Zara,Tencel,2019,5944,17,4542,1057,167,484037
33,Nike,Synthetic Blend,2019,5389,18,6505,1369,285,422050
34,Forever 21,Synthetic Blend,2018,2900,17,4472,809,340,565024
35,Adidas,Synthetic Blend,2020,3525,19,4833,1403,312,489201
36,Forever 21,Linen,2020,2216,11,6598,1133,220,431557
37,Zara,Organic Cotton,2019,3945,14,7036,1152,291,532115
38,Forever 21,Polyester,2018,2416,13,6234,736,244,572701
39,Forever 21,Recycled Poly,2021,2844,10,5262,1073,160,513797
40,Adidas,Wool,2019,2642,20,7195,1273,254,582702
41,Adidas,Cotton,2019,3250,22,4101,883,338,507080
42,Urban Outfitters,Wool,2019,3985,14,7225,1418,177,520281
43,Zara,Linen,2019,3434,23,5432,1012,208,478438
44,Zara,Wool,2019,5064,19,5141,771,347,493170
45,Nike,Wool,2022,5074,19,7847,728,179,488475
46,Adidas,Viscose,2020,2113,12,6443,1144,238,502228
47,Urban Outfitters,Viscose,2022,2747,21,7684,1290,198,486773
48,Zara,Microfiber,2018,3414,20,5766,771,320,506559
49,Forever 21,Organic Cotton,2018,4260,25,5266,1382,254,505506
50,Urban Outfitters,Synthetic Blend,2022,2842,15,5722,1380,247,597554
51,Adidas,Viscose,2022,4265,21,6244,700,227,495212
52,Adidas,Microfiber,2022,4439,23,5809,1152,322,476020
53,Forever 21,Linen,2019,2494,18,6111,1379,312,582335
54,Nike,Nylon,2019,4342,16,7303,903,187,426402
55,Zara,Cotton,2021,2396,23,5697,1344,297,470970
56,Urban Outfitters,Linen,2021,3798,13,6687,1404,151,447941
57,Urban Outfitters,Cotton,2019,5605,10,6283,955,181,539658
58,Adidas,Linen,2022,4399,23,6509,1436,279,531867
59,Forever 21,Linen,2019,5688,23,5061,1469,213,587159
60,Nike,Tencel,2021,3759,17,5801,779,332,494901
61,Adidas,Synthetic Blend,2020,4419,11,4566,854,209,520410
62,Adidas,Cotton,2018,5198,22,5355,1255,269,528992
63,Zara,Cotton,2021,4990,9,7509,1483,297,519714
64,Urban Outfitters,Polyester,2020,4246,21,7495,1129,287,563165
65,Forever 21,Cotton,2021,3597,17,5785,1197,157,521936
66,Nike,Wool,2021,3152,23,7766,830,309,560017
67,Zara,Microfiber,2022,2022,11,6632,1138,184,541031
68,Adidas,Polyester,2020,4905,19,4866,1165,233,508473
